species,gene,source,protein_accession,best_query,chromosome
Lagorchestes_hirsutus,CRY2,miniprot,,Macrotis_lagotis__CRY2__XP_074086628.1,CM052677.1
Leopardus_geoffroyi,CRY2,refseq,XP_045342584.1,,
Macrotis_lagotis,CRY2,refseq,XP_074086628.1,,
Martes_flavigula,CRY2,miniprot,,Leopardus_geoffroyi__CRY2__XP_045342584.1,CM081913.1
Microcebus_murinus,CRY2,refseq,XP_075858118.1,,
Mirza_zaza,CRY2,miniprot,,Microcebus_murinus__CRY2__XP_075858118.1,CAUYML010090825.1
Myrmecobius_fasciatus,CRY2,miniprot,,Sarcophilus_harrisii__CRY2__XP_031799863.1,JAJPUD010015874.1
Nanger_dama,CRY2,miniprot,,Bos_taurus__CRY2__NP_001276715.1,CAKJTW010000030.1
Nasua_narica,CRY2,miniprot,,Leopardus_geoffroyi__CRY2__XP_045342584.1,CM052815.1
Nycticebus_coucang,CRY2,refseq,XP_053416024.1,,
Ochotona_princeps,CRY2,refseq,XP_004585434.2,,
Octodon_degus,CRY2,refseq,XP_004627070.1,,
Orycteropus_afer,CRY2,refseq,XP_007944720.1,,
Paguma_larvata,CRY2,miniprot,,Leopardus_geoffroyi__CRY2__XP_045342584.1,CM057831.1
Pan_troglodytes,CRY2,refseq,XP_016776215.1,,
Panthera_pardus,CRY2,refseq,XP_019267810.1,,
Peromyscus_eremicus,CRY2,refseq,XP_059116958.1,,
Phacochoerus_africanus,CRY2,refseq,XP_047631868.1,,
Phalanger_gymnotis,CRY2,miniprot,,Macrotis_lagotis__CRY2__XP_074086628.1,CM053623.1
Pipistrellus_pipistrellus,CRY2,miniprot,,Pan_troglodytes__CRY2__XP_016776215.1,CBDBGO020000010.1
Plecturocebus_cupreus,CRY2,miniprot,,Pan_troglodytes__CRY2__XP_016776215.1,CM080815.1
Pseudocheirus_occidentalis,CRY2,miniprot,,Macrotis_lagotis__CRY2__XP_074086628.1,CM053601.1
Puma_concolor,CRY2,refseq,XP_025784175.1,,
Rattus_norvegicus,CRY2,refseq,NP_596896.2,,
Rhynchocyon_petersi,CRY2,refseq,KAM6158859.1,,
Saccopteryx_bilineata,CRY2,refseq,XP_066107456.1,,
Sarcophilus_harrisii,CRY2,refseq,XP_031799863.1,,
Sciurus_vulgaris,CRY2,refseq,XP_078959157.1,,
Speothos_venaticus,CRY2,miniprot,,Leopardus_geoffroyi__CRY2__XP_045342584.1,BLYH01033646.1
Suricata_suricatta,CRY2,refseq,XP_029812990.1,,
Sylvilagus_floridanus,CRY2,miniprot,,Gorilla_gorilla_gorilla__CRY2__XP_055210718.1,OX463224.1
Tapirus_terrestris,CRY2,miniprot,,Pan_troglodytes__CRY2__XP_016776215.1,CM142137.1
Tragelaphus_eurycerus,CRY2,miniprot,,Bos_taurus__CRY2__NP_001276715.1,CM080733.1
Uromys_caudimaculatus,CRY2,miniprot,,Arvicanthis_niloticus__CRY2__XP_076785412.1,CM052701.1
Vicugna_pacos,CRY2,refseq,XP_006212376.2,,
Xerus_rutilus,CRY2,miniprot,,Ictidomys_tridecemlineatus__CRY2__XP_021585313.2,CM053399.1
Acinonyx_jubatus,CSNK1D,refseq,XP_026908171.2,,
Arvicanthis_niloticus,CSNK1D,refseq,XP_076791410.1,,
Bos_taurus,CSNK1D,refseq,NP_001095550.1,,
Callithrix_jacchus,CSNK1D,refseq,XP_008996204.1,,
Camelus_bactrianus,CSNK1D,refseq,XP_074200158.1,,
Cebus_imitator,CSNK1D,refseq,XP_017380238.1,,
Cynocephalus_volans,CSNK1D,refseq,XP_062937370.1,,
Dasypus_novemcinctus,CSNK1D,refseq,XP_004463737.1,,
Equus_caballus,CSNK1D,refseq,XP_023507484.1,,
Gorilla_gorilla_gorilla,CSNK1D,refseq,XP_055245327.1,,
Homo_sapiens,CSNK1D,refseq,NP_001884.2,,
Hyaena_hyaena,CSNK1D,refseq,XP_039082341.1,,
Ictidomys_tridecemlineatus,CSNK1D,refseq,XP_077897490.1,,
Jaculus_jaculus,CSNK1D,refseq,XP_004655096.1,,
Lagorchestes_hirsutus,CSNK1D,miniprot,,Pan_troglodytes__CSNK1D__XP_009431822.2,CM052671.1
Leopardus_geoffroyi,CSNK1D,refseq,XP_045345912.1,,
Macrotis_lagotis,CSNK1D,refseq,XP_074080909.1,,
Martes_flavigula,CSNK1D,miniprot,,Leopardus_geoffroyi__CSNK1D__XP_045345912.1,CM081915.1
Microcebus_murinus,CSNK1D,refseq,XP_012632716.1,,
Mirza_zaza,CSNK1D,miniprot,,Pan_troglodytes__CSNK1D__XP_009431822.2,CAUYML010076798.1
Myrmecobius_fasciatus,CSNK1D,miniprot,,Pan_troglodytes__CSNK1D__XP_009431822.2,JAJPUD010005100.1
Nanger_dama,CSNK1D,miniprot,,Pan_troglodytes__CSNK1D__XP_009431822.2,CAKJTW010000111.1
Nycticebus_coucang,CSNK1D,refseq,XP_053424244.1,,
Ochotona_princeps,CSNK1D,refseq,XP_058531477.1,,
Octodon_degus,CSNK1D,refseq,XP_023555061.1,,
Orycteropus_afer,CSNK1D,refseq,XP_007957747.1,,
Panthera_pardus,CSNK1D,refseq,XP_019321378.2,,
Peromyscus_eremicus,CSNK1D,refseq,XP_059128307.1,,
Phacochoerus_africanus,CSNK1D,refseq,XP_047614350.1,,
Phalanger_gymnotis,CSNK1D,miniprot,,Pan_troglodytes__CSNK1D__XP_009431822.2,CM053626.1
Pseudocheirus_occidentalis,CSNK1D,miniprot,,Pan_troglodytes__CSNK1D__XP_009431822.2,CM053593.1
Puma_concolor,CSNK1D,refseq,XP_025783426.1,,
Rattus_norvegicus,CSNK1D,refseq,NP_620691.2,,
Rhynchocyon_petersi,CSNK1D,refseq,KAM6164063.1,,
Saccopteryx_bilineata,CSNK1D,refseq,XP_066092461.1,,
Sarcophilus_harrisii,CSNK1D,refseq,KAM9006180.1,,
Sciurus_vulgaris,CSNK1D,refseq,XP_078987146.1,,
Suricata_suricatta,CSNK1D,refseq,XP_029784685.1,,
Uromys_caudimaculatus,CSNK1D,miniprot,,Pan_troglodytes__CSNK1D__XP_009431822.2,CM052710.1
Vicugna_pacos,CSNK1D,refseq,XP_072796029.1,,
Acinonyx_jubatus,CSNK1E,refseq,XP_026926534.1,,
Acomys_cahirinus,CSNK1E,miniprot,,Arvicanthis_niloticus__CSNK1E__XP_076767745.1,JAULSH010000006.1
Aepyceros_melampus,CSNK1E,miniprot,,Bos_taurus__CSNK1E__NP_001071577.1,SJXQ01004990.1
Aotus_nancymaae,CSNK1E,refseq,XP_064224116.1,,
Arvicanthis_niloticus,CSNK1E,refseq,XP_076767745.1,,
Bos_taurus,CSNK1E,refseq,NP_001071577.1,,
Callithrix_jacchus,CSNK1E,refseq,XP_078196733.1,,
Camelus_bactrianus,CSNK1E,refseq,XP_074231636.1,,
Caracal_caracal,CSNK1E,miniprot,,Acinonyx_jubatus__CSNK1E__XP_026926534.1,JACGTZ010000080.1
Choloepus_hoffmanni,CSNK1E,miniprot,,Acinonyx_jubatus__CSNK1E__XP_026926534.1,KN185006.1
Cynocephalus_volans,CSNK1E,refseq,XP_062931056.1,,
Cynomys_ludovicianus,CSNK1E,miniprot,,Ictidomys_tridecemlineatus__CSNK1E__XP_077908859.1,JACVBZ010000790.1
Dasypus_novemcinctus,CSNK1E,refseq,XP_004466285.1,,
Daubentonia_madagascariensis,CSNK1E,miniprot,,Nycticebus_coucang__CSNK1E__XP_053440415.1,JBFSEQ010000005.1
Eira_barbara,CSNK1E,miniprot,,Acinonyx_jubatus__CSNK1E__XP_026926534.1,JAHRIH010000064.1
Equus_caballus,CSNK1E,refseq,XP_023487431.1,,
Giraffa_tippelskirchi,CSNK1E,miniprot,,Bos_taurus__CSNK1E__NP_001071577.1,CM136054.1
Gorilla_gorilla_gorilla,CSNK1E,refseq,XP_018873811.2,,
Homo_sapiens,CSNK1E,refseq,NP_001885.1,,
Hylobates_pileatus,CSNK1E,miniprot,,Gorilla_gorilla_gorilla__CSNK1E__XP_018873811.2,CM038525.1
Ictidomys_tridecemlineatus,CSNK1E,refseq,XP_077908859.1,,
Lagorchestes_hirsutus,CSNK1E,miniprot,,Sarcophilus_harrisii__CSNK1E__XP_031795734.1,CM052675.1
Macrotis_lagotis,CSNK1E,refseq,XP_074083029.1,,
Martes_flavigula,CSNK1E,miniprot,,Acinonyx_jubatus__CSNK1E__XP_026926534.1,CM081910.1
Microcebus_murinus,CSNK1E,refseq,XP_075863103.1,,
Mirza_zaza,CSNK1E,miniprot,,Nycticebus_coucang__CSNK1E__XP_053440415.1,CAUYML010076798.1
Myrmecobius_fasciatus,CSNK1E,miniprot,,Sarcophilus_harrisii__CSNK1E__XP_031795734.1,JAJPUD010004636.1
Nanger_dama,CSNK1E,miniprot,,Bos_taurus__CSNK1E__NP_001071577.1,CAKJTW010000046.1
Nasua_narica,CSNK1E,miniprot,,Acinonyx_jubatus__CSNK1E__XP_026926534.1,CM052807.1
Nycticebus_coucang,CSNK1E,refseq,XP_053440415.1,,
Ochotona_princeps,CSNK1E,refseq,XP_058529101.1,,
Paguma_larvata,CSNK1E,miniprot,,Acinonyx_jubatus__CSNK1E__XP_026926534.1,CM057828.1
Pan_troglodytes,CSNK1E,refseq,XP_054531720.2,,
Panthera_pardus,CSNK1E,refseq,XP_053750663.1,,
Peromyscus_eremicus,CSNK1E,refseq,XP_059103612.1,,
Phacochoerus_africanus,CSNK1E,refseq,XP_047642212.1,,
Phalanger_gymnotis,CSNK1E,miniprot,,Sarcophilus_harrisii__CSNK1E__XP_031795734.1,CM053623.1
Pipistrellus_pipistrellus,CSNK1E,miniprot,,Equus_caballus__CSNK1E__XP_023487431.1,CBDBGO020000003.1
Plecturocebus_cupreus,CSNK1E,miniprot,,Gorilla_gorilla_gorilla__CSNK1E__XP_018873811.2,CM080816.1
Pseudocheirus_occidentalis,CSNK1E,miniprot,,Sarcophilus_harrisii__CSNK1E__XP_031795734.1,CM053597.1
Puma_concolor,CSNK1E,refseq,XP_025782835.1,,
Rattus_norvegicus,CSNK1E,refseq,NP_113805.1,,
Rhynchocyon_petersi,CSNK1E,refseq,KAM6215785.1,,
Saccopteryx_bilineata,CSNK1E,refseq,XP_066114345.1,,
Sarcophilus_harrisii,CSNK1E,refseq,XP_031795734.1,,
Speothos_venaticus,CSNK1E,miniprot,,Acinonyx_jubatus__CSNK1E__XP_026926534.1,BLYH01013403.1
Sylvilagus_floridanus,CSNK1E,miniprot,,Equus_caballus__CSNK1E__XP_023487431.1,OX463231.1
Tapirus_terrestris,CSNK1E,miniprot,,Acinonyx_jubatus__CSNK1E__XP_026926534.1,CM142130.1
Tragelaphus_eurycerus,CSNK1E,miniprot,,Bos_taurus__CSNK1E__NP_001071577.1,CM080731.1
Uromys_caudimaculatus,CSNK1E,miniprot,,Arvicanthis_niloticus__CSNK1E__XP_076767745.1,CM052718.1
Vicugna_pacos,CSNK1E,refseq,XP_072829613.1,,
Xerus_rutilus,CSNK1E,miniprot,,Acinonyx_jubatus__CSNK1E__XP_026926534.1,CM053403.1
Acinonyx_jubatus,FBXL3,refseq,XP_026920831.1,,
Acomys_cahirinus,FBXL3,miniprot,,Peromyscus_eremicus__FBXL3__XP_059129235.1,JAULSH010000006.1
Aepyceros_melampus,FBXL3,miniprot,,Dasypus_novemcinctus__FBXL3__XP_004482027.1,SJXQ01000357.1
Aotus_nancymaae,FBXL3,refseq,XP_012327438.1,,
Arvicanthis_niloticus,FBXL3,refseq,XP_034353164.1,,
Bos_taurus,FBXL3,refseq,NP_001095716.1,,
Callithrix_jacchus,FBXL3,refseq,XP_035151782.1,,
Camelus_bactrianus,FBXL3,refseq,XP_074234462.1,,
Caracal_caracal,FBXL3,miniprot,,Acinonyx_jubatus__FBXL3__XP_026920831.1,JACGTZ010000333.1
Cebus_imitator,FBXL3,refseq,XP_017354322.1,,
Choloepus_hoffmanni,FBXL3,miniprot,,Dasypus_novemcinctus__FBXL3__XP_004482027.1,KN184632.1
Cynocephalus_volans,FBXL3,refseq,XP_062958383.1,,
Cynomys_ludovicianus,FBXL3,miniprot,,Ictidomys_tridecemlineatus__FBXL3__XP_077871896.1,JACVBZ010000884.1
Dasypus_novemcinctus,FBXL3,refseq,XP_004482027.1,,
Daubentonia_madagascariensis,FBXL3,miniprot,,Suricata_suricatta__FBXL3__XP_029792447.1,JBFSEQ010000008.1
Eira_barbara,FBXL3,miniprot,,Suricata_suricatta__FBXL3__XP_029792447.1,JAHRIH010000037.1
Equus_caballus,FBXL3,refseq,XP_023477469.1,,
Giraffa_tippelskirchi,FBXL3,miniprot,,Phacochoerus_africanus__FBXL3__XP_047611913.1,CM136062.1
Gorilla_gorilla_gorilla,FBXL3,refseq,XP_030857134.1,,
Homo_sapiens,FBXL3,refseq,NP_036290.1,,
Hyaena_hyaena,FBXL3,refseq,XP_039108380.1,,
Hylobates_pileatus,FBXL3,miniprot,,Suricata_suricatta__FBXL3__XP_029792447.1,CM038519.1
Ictidomys_tridecemlineatus,FBXL3,refseq,XP_077871896.1,,
Jaculus_jaculus,FBXL3,refseq,XP_045001429.1,,
Lagorchestes_hirsutus,FBXL3,miniprot,,Macrotis_lagotis__FBXL3__XP_074047952.1,CM052671.1
Leopardus_geoffroyi,FBXL3,refseq,XP_045335867.1,,
Macrotis_lagotis,FBXL3,refseq,XP_074047952.1,,
Martes_flavigula,FBXL3,miniprot,,Gorilla_gorilla_gorilla__FBXL3__XP_030857134.1,CM081906.1
Microcebus_murinus,FBXL3,refseq,XP_012592530.1,,
Mirza_zaza,FBXL3,miniprot,,Nycticebus_coucang__FBXL3__XP_053419412.1,CAUYML010047075.1
Myrmecobius_fasciatus,FBXL3,miniprot,,Sarcophilus_harrisii__FBXL3__XP_031814379.1,JAJPUD010000591.1
Nanger_dama,FBXL3,miniprot,,Phacochoerus_africanus__FBXL3__XP_047611913.1,CAKJTW010000005.1
Nasua_narica,FBXL3,miniprot,,Suricata_suricatta__FBXL3__XP_029792447.1,CM052810.1
Nycticebus_coucang,FBXL3,refseq,XP_053419412.1,,
Ochotona_princeps,FBXL3,refseq,XP_058526594.1,,
Octodon_degus,FBXL3,refseq,XP_004626336.1,,
Orycteropus_afer,FBXL3,refseq,XP_007939698.1,,
Paguma_larvata,FBXL3,miniprot,,Suricata_suricatta__FBXL3__XP_029792447.1,CM057839.1
Pan_troglodytes,FBXL3,refseq,NP_001267277.1,,
Panthera_pardus,FBXL3,refseq,XP_019299687.1,,
Peromyscus_eremicus,FBXL3,refseq,XP_059129235.1,,
Phacochoerus_africanus,FBXL3,refseq,XP_047611913.1,,
Phalanger_gymnotis,FBXL3,miniprot,,Macrotis_lagotis__FBXL3__XP_074047952.1,CM053626.1
Pipistrellus_pipistrellus,FBXL3,miniprot,,Hyaena_hyaena__FBXL3__XP_039108380.1,CBDBGO020000003.1
Plecturocebus_cupreus,FBXL3,miniprot,,Gorilla_gorilla_gorilla__FBXL3__XP_030857134.1,CM080821.1
Pseudocheirus_occidentalis,FBXL3,miniprot,,Macrotis_lagotis__FBXL3__XP_074047952.1,CM053600.1
Puma_concolor,FBXL3,refseq,XP_025779367.1,,
Rattus_norvegicus,FBXL3,refseq,NP_001094038.1,,
Rhynchocyon_petersi,FBXL3,refseq,KAM6178123.1,,
Saccopteryx_bilineata,FBXL3,refseq,XP_066092506.1,,
Sarcophilus_harrisii,FBXL3,refseq,XP_031814379.1,,
Sciurus_vulgaris,FBXL3,refseq,XP_078993061.1,,
Speothos_venaticus,FBXL3,miniprot,,Suricata_suricatta__FBXL3__XP_029792447.1,BLYH01048222.1
Suricata_suricatta,FBXL3,refseq,XP_029792447.1,,
Sylvilagus_floridanus,FBXL3,miniprot,,Gorilla_gorilla_gorilla__FBXL3__XP_030857134.1,OX463230.1
Tapirus_terrestris,FBXL3,miniprot,,Hyaena_hyaena__FBXL3__XP_039108380.1,CM142113.1
Tragelaphus_eurycerus,FBXL3,miniprot,,Phacochoerus_africanus__FBXL3__XP_047611913.1,CM080731.1
Uromys_caudimaculatus,FBXL3,miniprot,,Rattus_norvegicus__FBXL3__NP_001094038.1,CM052708.1
Vicugna_pacos,FBXL3,refseq,XP_072832471.1,,
Xerus_rutilus,FBXL3,miniprot,,Suricata_suricatta__FBXL3__XP_029792447.1,CM053404.1
Acinonyx_jubatus,NPAS2,refseq,XP_026925107.1,,
Acomys_cahirinus,NPAS2,miniprot,,Rattus_norvegicus__NPAS2__NP_001101684.2,JAULSH010000007.1
Aepyceros_melampus,NPAS2,miniprot,,Bos_taurus__NPAS2__NP_001077232.1,SJXQ01005446.1
Aotus_nancymaae,NPAS2,refseq,XP_012333061.1,,
Arvicanthis_niloticus,NPAS2,refseq,XP_076771129.1,,
Bos_taurus,NPAS2,refseq,NP_001077232.1,,
Callithrix_jacchus,NPAS2,refseq,XP_035127654.3,,
Camelus_bactrianus,NPAS2,refseq,XP_074210815.1,,
Caracal_caracal,NPAS2,miniprot,,Puma_concolor__NPAS2__XP_025788540.1,JACGTZ010000156.1
Cebus_imitator,NPAS2,refseq,XP_017403411.1,,
Choloepus_hoffmanni,NPAS2,miniprot,,Gorilla_gorilla_gorilla__NPAS2__XP_055234406.1,KN194093.1
Cynocephalus_volans,NPAS2,refseq,XP_062934272.1,,
Cynomys_ludovicianus,NPAS2,miniprot,,Ictidomys_tridecemlineatus__NPAS2__XP_077884694.1,JACVBZ010001209.1
Dasypus_novemcinctus,NPAS2,refseq,XP_058134181.1,,
Daubentonia_madagascariensis,NPAS2,miniprot,,Gorilla_gorilla_gorilla__NPAS2__XP_055234406.1,JBFSEQ010000006.1
Eira_barbara,NPAS2,miniprot,,Panthera_pardus__NPAS2__XP_053746545.1,JAHRIH010000133.1
Equus_caballus,NPAS2,refseq,XP_070092177.1,,
Giraffa_tippelskirchi,NPAS2,miniprot,,Bos_taurus__NPAS2__NP_001077232.1,CM136054.1
Gorilla_gorilla_gorilla,NPAS2,refseq,XP_055234406.1,,
Homo_sapiens,NPAS2,refseq,NP_002509.2,,
Hyaena_hyaena,NPAS2,refseq,XP_039109040.1,,
Hylobates_pileatus,NPAS2,miniprot,,Gorilla_gorilla_gorilla__NPAS2__XP_055234406.1,CM038531.1
Ictidomys_tridecemlineatus,NPAS2,refseq,XP_077884694.1,,
Jaculus_jaculus,NPAS2,refseq,XP_045003848.1,,
Lagorchestes_hirsutus,NPAS2,miniprot,,Macrotis_lagotis__NPAS2__XP_074069908.1,CM052674.1
Leopardus_geoffroyi,NPAS2,refseq,XP_045301644.1,,
Macrotis_lagotis,NPAS2,refseq,XP_074069908.1,,
Martes_flavigula,NPAS2,miniprot,,Panthera_pardus__NPAS2__XP_053746545.1,CM081911.1
Microcebus_murinus,NPAS2,refseq,XP_012595914.2,,
Mirza_zaza,NPAS2,miniprot,,Microcebus_murinus__NPAS2__XP_012595914.2,CAUYML010057475.1
Myrmecobius_fasciatus,NPAS2,miniprot,,Sarcophilus_harrisii__NPAS2__XP_031815006.1,JAJPUD010010099.1
Nanger_dama,NPAS2,miniprot,,Bos_taurus__NPAS2__NP_001077232.1,CAKJTW010000006.1
Nasua_narica,NPAS2,miniprot,,Panthera_pardus__NPAS2__XP_053746545.1,CM052811.1
Nycticebus_coucang,NPAS2,refseq,XP_053445914.1,,
Ochotona_princeps,NPAS2,refseq,XP_058523491.1,,
Octodon_degus,NPAS2,refseq,XP_023573313.1,,
Orycteropus_afer,NPAS2,refseq,XP_042639421.1,,
Paguma_larvata,NPAS2,miniprot,,Puma_concolor__NPAS2__XP_025788540.1,CM057836.1
Pan_troglodytes,NPAS2,refseq,XP_016804612.1,,
Panthera_pardus,NPAS2,refseq,XP_053746545.1,,
Phacochoerus_africanus,NPAS2,refseq,XP_047637375.1,,
Phalanger_gymnotis,NPAS2,miniprot,,Macrotis_lagotis__NPAS2__XP_074069908.1,CM053622.1
Pipistrellus_pipistrellus,NPAS2,miniprot,,Sarcophilus_harrisii__NPAS2__XP_031815006.1,CBDBGO020000001.1
Plecturocebus_cupreus,NPAS2,miniprot,,Cebus_imitator__NPAS2__XP_017403411.1,CM080818.1
Puma_concolor,NPAS2,refseq,XP_025788540.1,,
Rattus_norvegicus,NPAS2,refseq,NP_001101684.2,,
Rhynchocyon_petersi,NPAS2,refseq,KAM6178795.1,,
Saccopteryx_bilineata,NPAS2,refseq,XP_066124329.1,,
Sarcophilus_harrisii,NPAS2,refseq,XP_031815006.1,,
Sciurus_vulgaris,NPAS2,refseq,XP_078967134.1,,
Speothos_venaticus,NPAS2,miniprot,,Panthera_pardus__NPAS2__XP_053746545.1,BLYH01045956.1
Suricata_suricatta,NPAS2,refseq,XP_029792998.1,,
Sylvilagus_floridanus,NPAS2,miniprot,,Gorilla_gorilla_gorilla__NPAS2__XP_055234406.1,OX463245.1
Tapirus_terrestris,NPAS2,miniprot,,Equus_caballus__NPAS2__XP_070092177.1,CM142110.1
Tragelaphus_eurycerus,NPAS2,miniprot,,Bos_taurus__NPAS2__NP_001077232.1,CM080736.1
Uromys_caudimaculatus,NPAS2,miniprot,,Arvicanthis_niloticus__NPAS2__XP_076771129.1,CM052709.1
Vicugna_pacos,NPAS2,refseq,XP_072807409.1,,
Xerus_rutilus,NPAS2,miniprot,,Gorilla_gorilla_gorilla__NPAS2__XP_055234406.1,CM053411.1
Acinonyx_jubatus,NR1D1,refseq,XP_014934031.2,,
Acomys_cahirinus,NR1D1,miniprot,,Rattus_norvegicus__NR1D1__NP_001106893.2,JAULSH010000009.1
Aepyceros_melampus,NR1D1,miniprot,,Bos_taurus__NR1D1__NP_001071568.1,SJXQ01000919.1
Aotus_nancymaae,NR1D1,refseq,XP_012307431.1,,
Arvicanthis_niloticus,NR1D1,refseq,XP_034361521.1,,
Bos_taurus,NR1D1,refseq,NP_001071568.1,,
Callithrix_jacchus,NR1D1,refseq,XP_035155575.1,,
Camelus_bactrianus,NR1D1,refseq,XP_010958757.1,,
Caracal_caracal,NR1D1,miniprot,,Acinonyx_jubatus__NR1D1__XP_014934031.2,JACGTZ010000117.1
Cebus_imitator,NR1D1,refseq,XP_017352606.1,,
Choloepus_hoffmanni,NR1D1,miniprot,,Dasypus_novemcinctus__NR1D1__XP_004450154.2,KN195032.1
Cynocephalus_volans,NR1D1,refseq,XP_062966647.1,,
Cynomys_ludovicianus,NR1D1,miniprot,,Ictidomys_tridecemlineatus__NR1D1__XP_005321865.1,JACVBZ010000690.1
Dasypus_novemcinctus,NR1D1,refseq,XP_004450154.2,,
Daubentonia_madagascariensis,NR1D1,miniprot,,Microcebus_murinus__NR1D1__XP_012621327.1,JBFSEQ010000011.1
Eira_barbara,NR1D1,miniprot,,Hyaena_hyaena__NR1D1__XP_039083647.1,JAHRIH010000098.1
Equus_caballus,NR1D1,refseq,XP_005597494.1,,
Giraffa_tippelskirchi,NR1D1,miniprot,,Bos_taurus__NR1D1__NP_001071568.1,CM136053.1
Gorilla_gorilla_gorilla,NR1D1,refseq,XP_004041798.1,,
Homo_sapiens,NR1D1,refseq,NP_068370.1,,
Hyaena_hyaena,NR1D1,refseq,XP_039083647.1,,
Hylobates_pileatus,NR1D1,miniprot,,Gorilla_gorilla_gorilla__NR1D1__XP_004041798.1,CM038526.1
Ictidomys_tridecemlineatus,NR1D1,refseq,XP_005321865.1,,
Jaculus_jaculus,NR1D1,refseq,XP_004655509.2,,
Lagorchestes_hirsutus,NR1D1,miniprot,,Macrotis_lagotis__NR1D1__XP_074080097.1,CM052671.1
Leopardus_geoffroyi,NR1D1,refseq,XP_045344687.1,,
Macrotis_lagotis,NR1D1,refseq,XP_074080097.1,,
Martes_flavigula,NR1D1,miniprot,,Hyaena_hyaena__NR1D1__XP_039083647.1,CM081915.1
Microcebus_murinus,NR1D1,refseq,XP_012621327.1,,
Mirza_zaza,NR1D1,miniprot,,Microcebus_murinus__NR1D1__XP_012621327.1,CAUYML010094816.1
Myrmecobius_fasciatus,NR1D1,miniprot,,Arvicanthis_niloticus__NR1D1__XP_034361521.1,JAJPUD010001820.1
Nanger_dama,NR1D1,miniprot,,Bos_taurus__NR1D1__NP_001071568.1,CAKJTW010000039.1
Nasua_narica,NR1D1,miniprot,,Hyaena_hyaena__NR1D1__XP_039083647.1,CM052804.1
Nycticebus_coucang,NR1D1,refseq,XP_053424128.1,,
Ochotona_princeps,NR1D1,refseq,XP_004591297.2,,
Octodon_degus,NR1D1,refseq,XP_023573983.1,,
Orycteropus_afer,NR1D1,refseq,XP_007940251.1,,
Paguma_larvata,NR1D1,miniprot,,Suricata_suricatta__NR1D1__XP_029784951.1,CM057843.1
Pan_troglodytes,NR1D1,refseq,XP_511468.2,,
Panthera_pardus,NR1D1,refseq,XP_019271600.1,,
Peromyscus_eremicus,NR1D1,refseq,XP_059127689.1,,
Phacochoerus_africanus,NR1D1,refseq,XP_047613193.1,,
Phalanger_gymnotis,NR1D1,miniprot,,Macrotis_lagotis__NR1D1__XP_074080097.1,CM053626.1
Pipistrellus_pipistrellus,NR1D1,miniprot,,Saccopteryx_bilineata__NR1D1__XP_066119813.1,CBDBGO020000017.1
Plecturocebus_cupreus,NR1D1,miniprot,,Aotus_nancymaae__NR1D1__XP_012307431.1,CM080831.1
Pseudocheirus_occidentalis,NR1D1,miniprot,,Macrotis_lagotis__NR1D1__XP_074080097.1,CM053593.1
Puma_concolor,NR1D1,refseq,XP_025773317.1,,
Rattus_norvegicus,NR1D1,refseq,NP_001106893.2,,
Rhynchocyon_petersi,NR1D1,refseq,KAM6164545.1,,
Saccopteryx_bilineata,NR1D1,refseq,XP_066119813.1,,
Sarcophilus_harrisii,NR1D1,refseq,XP_031822074.1,,
Sciurus_vulgaris,NR1D1,refseq,XP_078991369.1,,
Speothos_venaticus,NR1D1,miniprot,,Suricata_suricatta__NR1D1__XP_029784951.1,BLYH01004687.1
Suricata_suricatta,NR1D1,refseq,XP_029784951.1,,
Sylvilagus_floridanus,NR1D1,miniprot,,Pan_troglodytes__NR1D1__XP_511468.2,OX463237.1
Tapirus_terrestris,NR1D1,miniprot,,Equus_caballus__NR1D1__XP_005597494.1,CM142119.1
Tragelaphus_eurycerus,NR1D1,miniprot,,Bos_taurus__NR1D1__NP_001071568.1,CM080735.1
Uromys_caudimaculatus,NR1D1,miniprot,,Peromyscus_eremicus__NR1D1__XP_059127689.1,CM052710.1
Vicugna_pacos,NR1D1,refseq,XP_072794866.1,,
Xerus_rutilus,NR1D1,miniprot,,Ictidomys_tridecemlineatus__NR1D1__XP_005321865.1,CM053402.1
Acinonyx_jubatus,NR1D2,refseq,XP_026896752.1,,
Acomys_cahirinus,NR1D2,miniprot,,Peromyscus_eremicus__NR1D2__XP_059130160.1,JAULSH010000009.1
Aepyceros_melampus,NR1D2,miniprot,,Bos_taurus__NR1D2__NP_001276722.1,SJXQ01010998.1
Aotus_nancymaae,NR1D2,refseq,XP_064234685.1,,
Arvicanthis_niloticus,NR1D2,refseq,XP_034353481.1,,
Bos_taurus,NR1D2,refseq,NP_001276722.1,,
Callithrix_jacchus,NR1D2,refseq,XP_035133626.1,,
Camelus_bactrianus,NR1D2,refseq,XP_074227523.1,,
Caracal_caracal,NR1D2,miniprot,,Acinonyx_jubatus__NR1D2__XP_026896752.1,JACGTZ010000093.1
Cebus_imitator,NR1D2,refseq,XP_037592135.1,,
Choloepus_hoffmanni,NR1D2,miniprot,,Microcebus_murinus__NR1D2__XP_012600788.1,KN184540.1
Cynocephalus_volans,NR1D2,refseq,XP_062969729.1,,
Cynomys_ludovicianus,NR1D2,miniprot,,Ictidomys_tridecemlineatus__NR1D2__XP_077894421.1,JACVBZ010001231.1
Dasypus_novemcinctus,NR1D2,refseq,XP_058146797.1,,
Daubentonia_madagascariensis,NR1D2,miniprot,,Microcebus_murinus__NR1D2__XP_012600788.1,JBFSEQ010000001.1
